Nome do ponto;Latitude;Longitude
A_I_de_Rio_Branco_Plácido_de_Castro;-9.86888888888889;-67.8958333333333
A_I_de_Macapá_Alberto_Alcolumbre;0.0508333333333333;-51.0702777777778
A_I_de_Manaus_Eduardo_Gomes;-3.03888888888889;-60.0461111111111
A_I_de_Belém_Júlio_César_Ribeiro;-1.38222222222222;-48.4811111111111
A_I_de_Porto_Velho_Jorge_Teixeira_de_Oliveira;-8.71361111111111;-63.9027777777778
A_I_de_Boa_Vista_Atlas_Brasil_Cantanhede;2.84138888888889;-60.6922222222222
A_de_Palmas_Brigadeiro_Lysias_Rodrigues;-10.29;-48.3577777777778
A_I_de_Maceió_Zumbi_dos_Palmares;-9.51722222222222;-35.7836111111111
A_I_de_Salvador_Dep_Luis_Eduardo_Magalhães;-12.9086111111111;-38.3225
A_I_de_Fortaleza_Pinto_Martins;-3.77583333333333;-38.5322222222222
A_I_São_Luis_Marechal_Hugo_C_Machado;-2.58527777777778;-44.2341666666667
A_I_de_João_Pessoa_Pres_Castro_Pinto;-7.14833333333333;-34.9505555555556
A_I_de_Recife_Guararapes;-8.12638888888889;-34.9227777777778
A_I_de_Teresina_Sem_Petrônio_Portella;-5.06055555555556;-42.8244444444445
A_I_de_Natal_Aluízio_Alves;-5.76888888888889;-35.3663888888889
A_I_de_Aracaju_Santa_Maria;-10.9852777777778;-37.0733333333333
A_I_de_Brasília_Juscelino_Kubitschek;-15.8711111111111;-47.9186111111111
A_I_de_Goiânia_Santa_Genoveva;-16.6297222222222;-49.2266666666667
A_I_de_Cuiabá_Marechal_Rondon;-15.65;-56.1175
A_I_de_Campo_Grande;-20.4694444444444;-54.6702777777778
A_I_de_Vitória_Eurico_de_Aguiar_Salles;-20.2566666666667;-40.2861111111111
A_I_de_Belo_Horizonte_Cofins;-19.6244444444444;-43.9719444444444
A_I_do_Rio_de_Janeiro_Galeão;-22.81;-43.2505555555556
A_do_Rio_de_Janeiro_Santos_Dumond;-22.91;-43.1625
A_I_de_São_Paulo_Guarulhos;-23.4319444444444;-46.4694444444445
A_I_de_Viracopos;-23.0069444444444;-47.1344444444444
A_I_de_São_Paulo_Congonhas;-23.6261111111111;-46.6563888888889
A_I_de_Curitiba_Afonso_Pena;-25.5316666666667;-49.1761111111111
A_I_de_Foz_do_Iguaçu_Cataratas;-25.6002777777778;-54.485
A_I_de_Florianópolis_Hercílio_Luz;-27.6702777777778;-48.5525
A_I_de_Porto_Alegre_Salgado_Filho;-29.9938888888889;-51.1711111111111
DSB_E_Parque_Experimental;-16.7958333333333;-49.2313888888889
Infralab;-15.7733333333333;-47.8666666666667
E_S_Serra_da_Mesa;-13.8286111111111;-48.3211111111111
E_S_Itaguaçu;-11.0622222222222;-42.4986111111111
E_S_Fortin;-4.43722222222222;-37.8372222222222
E_S_Simplício;-21.9241666666667;-42.8127777777778
E_S_Itumbiara;-18.4163888888889;-49.1122222222222
E_S_Manso;-14.8708333333333;-55.7858333333333
E_S_Mascarenhas_de_Moraes;-20.2875;-47.0644444444444
T_A_Itumbiara;-18.4283333333333;-49.1169444444444
T_A_Furnas_ABV_;-20.68;-46.2955555555556
E_S_Funil;-22.53;-44.5683333333333
T_A_IF_RV;-17.8075;-50.9036111111111
Au2D_Cristo_Redentor;-22.9516666666667;-43.2102777777778
T_A_Foz70;-25.4961111111111;-54.3980555555556
PCD_Porto_Velho;-8.81194444444444;-63.9433333333333
T_A_Batalha;-17.3463888888889;-47.4913888888889
Serra_da_antena;-13.0455555555556;-46.7844444444444
Pico_Pirineus;-15.7933333333333;-48.835
